Site_Summary_ID,Testing Laboratory,Site_Summary_Case,Epizoo,State,County,Site_Summary_Site,Secondary Site Name,Site_Summary_WNS Case Definition,Lat_case,Long_case,GRTS_ID,County Centroid Lat/Long,Site_Summary_DateColl,Site_Summary_DateSub,FinalDate,Site Use,Site Ownership,Site Access,Site Classification,Survey Class,Survey Season,Sample_Results_ID,Sample_Results_Case,SampleID,Sample_Results_Site,Specimen_Type,Species,Additional Sample from Same Bat,On Site Location,Status,Sample_Results_DateColl,Sample_Results_DateSub,WNS Individual Definition,Histo SUM,Pd PCR Sum,Pd Culture SUM
60,NWHC,30260,201328,MT,Phillips,Azure Cave, ,Confirmed - Pos,,,108235,No,5/21/2021,5/25/2021,6/3/2021,Hibernaculum,Public,Gated-all year,Cave-undeveloped,Passive,2020-21,907, , ,Azure Cave,Carcass,"Bat, Little Brown", , ,Euthanized,5/21/2021,5/25/2021,Confirmed - Positive,Positive,Detected,NT
60,NWHC,30260,201328,MT,Phillips,Azure Cave, ,Confirmed - Pos,,,108235,No,5/21/2021,5/25/2021,6/3/2021,Hibernaculum,Public,Gated-all year,Cave-undeveloped,Passive,2020-21,908, , ,Azure Cave,Carcass,"Bat, Little Brown", , ,Euthanized,5/21/2021,5/25/2021,Confirmed - Positive,Positive,Detected,NT
56,NWHC,30232,201244,MT,Fallon,"Hay Creek Bridge, Plevna", ,Confirmed - Pos,46.42078,-104.70346,98149,No,5/5/2021,5/11/2021,5/19/2021,Summer Roost,NR,NR,Bridge,Passive,2020-21,855, , ,"Hay Creek Bridge, Plevna",Carcass,"Bat, Little Brown", , ,Dead,5/5/2021,5/11/2021,Confirmed - Positive,Positive,Detected,NT
54,NWHC,30214,201263,MT,Carter,"Private residence, Elkalaka", ,Confirmed - Pos,45.95369,-104.49311,22933,No,4/24/2021,4/28/2021,5/4/2021,Landscape,Private,NA,Landscape,Passive,2020-21,854, , ,"Private residence, Elkalaka",Carcass,"Bat, Little Brown", , ,Dead,4/24/2021,4/28/2021,Confirmed - Positive,Positive,Detected,NT
52,NWHC,30142,201244,MT,Fallon,Sandstone Reservoir, ,Confirmed - Pos,46.336603,-104.479869,92399,No,3/22/2021,3/24/2021,4/21/2021,Landscape,Public,Open-all year,Landscape,Passive,2020-21,773, , ,Sandstone Reservoir,Carcass,"Bat, Little Brown", , ,Dead,3/22/2021,3/24/2021,Confirmed - Positive,Positive,Detected,NT
79,NWHC,30329, ,MT,Carter,Box Elder Bridge, ,Pd present,45.687698,-104.369209,80510,No,6/7/2021,6/15/2021,7/1/2021,Summer Roost,Private,Open-all year,Bridge,Active,2020-21,1021, , ,Box Elder Bridge,Bat Swab,"Bat, Little Brown", , ,Live,6/7/2021,6/15/2021,Equivocal,NA,Equivocal,NA
80,NWHC,30353, ,MT,Valley,Valley Attic, ,Pd present,48.1595,-106.59581,115029,No,6/7/2021,6/17/2021,7/7/2021,Summer Roost,Private,Gated-all year,Bldg/bunker,Active,2020-21,1232, , ,Valley Attic,Bat Swab,"Bat, Unidentified Myotis", , ,Live,6/7/2021,6/17/2021,Equivocal,NA,Equivocal,NA
81,NWHC,30354, ,MT,Valley,Valley Attic, ,Pd present,48.1595,-106.59581,115029,No,6/7/2021,6/17/2021,7/21/2021,Summer Roost,Private,NR,Bldg/bunker,Active,2020-21,1232, , ,Valley Attic,Bat Swab,"Bat, Unidentified Myotis", , ,Live,6/7/2021,6/17/2021,Equivocal,NA,Equivocal,NA
80,NWHC,30353, ,MT,Valley,Valley Attic, ,Pd present,48.1595,-106.59581,115029,No,6/7/2021,6/17/2021,7/7/2021,Summer Roost,Private,Gated-all year,Bldg/bunker,Active,2020-21,1238, , ,Valley Attic,Bat Swab,"Bat, Unidentified Myotis", , ,Live,6/7/2021,6/17/2021,Equivocal,NA,Equivocal,NA
81,NWHC,30354, ,MT,Valley,Valley Attic, ,Pd present,48.1595,-106.59581,115029,No,6/7/2021,6/17/2021,7/21/2021,Summer Roost,Private,NR,Bldg/bunker,Active,2020-21,1238, , ,Valley Attic,Bat Swab,"Bat, Unidentified Myotis", , ,Live,6/7/2021,6/17/2021,Equivocal,NA,Equivocal,NA
